Référence;Description;Fournisseur;Unité;Prix d'achat;Marge;Photo;Catégories;Compte Général;Stock (Y/N);Emplacement;EAN;Quantité Min;Quantité Max;Identifiant_Fourniture;Identifiant_Emplacement
AR00000078;FACONNAGE S/ MESURE 150 ZN 0,7;Façozinc;Mc;7,81;0,00;;;;;;;;
AR00000081;FACONNAGE S/ MESURE 120 ZN 1;Façozinc;Mc;8,38;0,00;;;;;;;;
AR00000082;FACONNAGE S/ MESURE 120 ZN 0,8;Façozinc;Mc;7,42;0,00;;;;;;;;
AR00000083;FACONNAGE S/ MESURE 120 ZN 0,7;Façozinc;Mc;6,97;0,00;;;;;;;;
AR00000086;FACONNAGE S/ MESURE 100 ZN 1;Façozinc;Mc;7,60;0,00;;;;;;;;
AR00000087;FACONNAGE S/ MESURE 100 ZN 0,8;Façozinc;Mc;6,81;0,00;;;;;;;;
AR00000088;FACONNAGE S/ MESURE 100 ZN 0,7;Façozinc;Mc;6,36;0,00;;;;;;;;
AR00000091;FACONNAGE S/ MESURE 1000 ATZ 1;Façozinc;Mc;54,17;0,00;;;;;;;;
AR00000092;FACONNAGE S/ MESURE 1000 ATZ 0,8;Façozinc;Mc;44,04;0,00;;;;;;;;
AR00000093;FACONNAGE S/ MESURE 1000 ATZ 0,7;Façozinc;Mc;38,97;0,00;;;;;;;;
AR00000096;FACONNAGE S/ MESURE 750 ATZ 1;Façozinc;Mc;41,50;0,00;;;;;;;;
AR00000097;FACONNAGE S/ MESURE 750 ATZ 0,8;Façozinc;Mc;33,90;0,00;;;;;;;;
AR00000098;FACONNAGE S/ MESURE 750 ATZ 0,7;Façozinc;Mc;30,09;0,00;;;;;;;;
AR00000101;FACONNAGE S/ MESURE 670 ATZ 1;Façozinc;Mc;37,44;0,00;;;;;;;;
AR00000102;FACONNAGE S/ MESURE 670 ATZ 0,8;Façozinc;Mc;30,65;0,00;;;;;;;;
AR00000103;FACONNAGE S/ MESURE 670 ATZ 0,7;Façozinc;Mc;27,57;0,00;;;;;;;;
AR00000106;FACONNAGE S/ MESURE 600 ATZ 1;Façozinc;Mc;33,90;0,00;;;;;;;;
AR00000107;FACONNAGE S/ MESURE 600 ATZ 0,8;Façozinc;Mc;27,81;0,00;;;;;;;;
AR00000108;FACONNAGE S/ MESURE 600 ATZ 0,7;Façozinc;Mc;25,05;0,00;;;;;;;;
AR00000111;FACONNAGE S/ MESURE 500 ATZ 1;Façozinc;Mc;32,73;0,00;;;;;;;;
AR00000112;FACONNAGE S/ MESURE 500 ATZ 0,8;Façozinc;Mc;26,91;0,00;;;;;;;;
AR00000113;FACONNAGE S/ MESURE 500 ATZ 0,7;Façozinc;Mc;23,99;0,00;;;;;;;;
AR00000116;FACONNAGE S/ MESURE 450 ATZ 1;Façozinc;Mc;29,49;0,00;;;;;;;;
AR00000117;FACONNAGE S/ MESURE 450 ATZ 0,8;Façozinc;Mc;24,31;0,00;;;;;;;;
AR00000118;FACONNAGE S/ MESURE 450 ATZ 0,7;Façozinc;Mc;21,71;0,00;;;;;;;;
AR00000121;FACONNAGE S/ MESURE 400 ATZ 1;Façozinc;Mc;26,61;0,00;;;;;;;;
AR00000122;FACONNAGE S/ MESURE 400 ATZ 0,8;Façozinc;Mc;22,00;0,00;;;;;;;;
AR00000123;FACONNAGE S/ MESURE 400 ATZ 0,7;Façozinc;Mc;19,92;0,00;;;;;;;;
AR00000126;FACONNAGE S/ MESURE 375 ATZ 1;Façozinc;Mc;25,17;0,00;;;;;;;;
AR00000128;FACONNAGE S/ MESURE 375 ATZ 0,7;Façozinc;Mc;18,90;0,00;;;;;;;;
AR00000131;FACONNAGE S/ MESURE 333 ATZ 1;Façozinc;Mc;22,75;0,00;;;;;;;;
AR00000132;FACONNAGE S/ MESURE 333 ATZ 0,8;Façozinc;Mc;19,13;0,00;;;;;;;;
AR00000136;FACONNAGE S/ MESURE 300 ATZ 1;Façozinc;Mc;20,84;0,00;;;;;;;;
AR00000137;FACONNAGE S/ MESURE 300 ATZ 0,8;Façozinc;Mc;17,59;0,00;;;;;;;;
AR00000138;FACONNAGE S/ MESURE 300 ATZ 0,7;Façozinc;Mc;15,84;0,00;;;;;;;;
AR00000141;FACONNAGE S/ MESURE 285 ATZ 1;Façozinc;Mc;20,21;0,00;;;;;;;;
AR00000142;FACONNAGE S/ MESURE 285 ATZ 0,8;Façozinc;Mc;16,88;0,00;;;;;;;;
AR00000143;FACONNAGE S/ MESURE 285 ATZ 0,7;Façozinc;Mc;15,23;0,00;;;;;;;;
AR00000146;FACONNAGE S/ MESURE 250 ATZ 1;Façozinc;Mc;18,17;0,00;;;;;;;;
AR00000147;FACONNAGE S/ MESURE 250 ATZ 0,8;Façozinc;Mc;15,26;0,00;;;;;;;;
AR00000148;FACONNAGE S/ MESURE 250 ATZ 0,7;Façozinc;Mc;13,95;0,00;;;;;;;;
AR00000151;FACONNAGE S/ MESURE 200 ATZ 1;Façozinc;Mc;15,26;0,00;;;;;;;;
AR00000152;FACONNAGE S/ MESURE 200 ATZ 0,8;Façozinc;Mc;13,07;0,00;;;;;;;;
AR00000153;FACONNAGE S/ MESURE 200 ATZ 0,7;Façozinc;Mc;11,88;0,00;;;;;;;;
AR00000156;FACONNAGE S/ MESURE 187 ATZ 1;Façozinc;Mc;14,50;0,00;;;;;;;;
AR00000157;FACONNAGE S/ MESURE 187 ATZ 0,8;Façozinc;Mc;12,46;0,00;;;;;;;;
AR00000158;FACONNAGE S/ MESURE 187 ATZ 0,7;Façozinc;Mc;11,36;0,00;;;;;;;;
AR00000161;FACONNAGE S/ MESURE 175 ATZ 1;Façozinc;Mc;13,95;0,00;;;;;;;;
AR00000162;FACONNAGE S/ MESURE 175 ATZ 0,8;Façozinc;Mc;11,88;0,00;;;;;;;;
AR00000163;FACONNAGE S/ MESURE 175 ATZ 0,7;Façozinc;Mc;10,98;0,00;;;;;;;;
AR00000166;FACONNAGE S/ MESURE 150 ATZ 1;Façozinc;Mc;12,48;0,00;;;;;;;;
AR00000167;FACONNAGE S/ MESURE 150 ATZ 0,8;Façozinc;Mc;10,83;0,00;;;;;;;;
AR00000168;FACONNAGE S/ MESURE 150 ATZ 0,7;Façozinc;Mc;9,94;0,00;;;;;;;;
AR00000171;FACONNAGE S/ MESURE 120 ATZ 1;Façozinc;Mc;10,83;0,00;;;;;;;;
AR00000172;FACONNAGE S/ MESURE 120 ATZ 0,8;Façozinc;Mc;9,40;0,00;;;;;;;;
AR00000173;FACONNAGE S/ MESURE 120 ATZ 0,7;Façozinc;Mc;8,78;0,00;;;;;;;;
AR00000176;FACONNAGE S/ MESURE 100 ATZ 1;Façozinc;Mc;9,63;0,00;;;;;;;;
AR00000177;FACONNAGE S/ MESURE 100 ATZ 0,8;Façozinc;Mc;8,54;0,00;;;;;;;;
AR00000178;FACONNAGE S/ MESURE 100 ATZ 0,7;Façozinc;Mc;7,93;0,00;;;;;;;;
AR00000181;FACONNAGE S/ MESURE 1000 QZ 1;Façozinc;Mc;53,12;0,00;;;;;;;;
AR00000182;FACONNAGE S/ MESURE 1000 QZ 0,8;Façozinc;Mc;43,20;0,00;;;;;;;;
AR00000183;FACONNAGE S/ MESURE 1000 QZ 0,7;Façozinc;Mc;38,23;0,00;;;;;;;;
AR00000186;FACONNAGE S/ MESURE 750 QZ 1;Façozinc;Mc;40,71;0,00;;;;;;;;
AR00000187;FACONNAGE S/ MESURE 750 QZ 0,8;Façozinc;Mc;33,26;0,00;;;;;;;;
AR00000188;FACONNAGE S/ MESURE 750 QZ 0,7;Façozinc;Mc;29,54;0,00;;;;;;;;
AR00000191;FACONNAGE S/ MESURE 670 QZ 1;Façozinc;Mc;36,74;0,00;;;;;;;;
AR00000192;FACONNAGE S/ MESURE 670 QZ 0,8;Façozinc;Mc;30,08;0,00;;;;;;;;
AR00000193;FACONNAGE S/ MESURE 670 QZ 0,7;Façozinc;Mc;27,07;0,00;;;;;;;;
AR00000196;FACONNAGE S/ MESURE 600 QZ 1;Façozinc;Mc;33,26;0,00;;;;;;;;
AR00000197;FACONNAGE S/ MESURE 600 QZ 0,8;Façozinc;Mc;27,62;0,00;;;;;;;;
AR00000198;FACONNAGE S/ MESURE 600 QZ 0,7;Façozinc;Mc;24,60;0,00;;;;;;;;
